#MGI Accession ID	Chr	cM Position	genome coordinate start	genome coordinate end	strand	Marker Symbol	Status	Marker Name	Marker Type	Feature Type	Marker Synonyms (pipe-separated)
MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	ORF11
MGI:2684890	Gm44	predicted gene 44	LOC212952
MGI:5690505	Gm44113	predicted gene, 44113	Gm10450
MGI:5690588	Gm44196	predicted gene, 44196	A930015G24Rik
MGI:3809660	Gm4425	predicted gene 4425	Gm5433
MGI:5529083	Gm44501	predicted readthrough transcript, 44501	Esp6Esp5
MGI:3846135	Gm44502	predicted readthrough transcript (NMD candidate), 44502	BC090627|Chkb-Cpt1b|Chkbcpt1b|ChkbCpt1b
MGI:5141975	Gm44503	predicted readthrough transcript (NMD candidate), 44503	Dyx1c1Ccpg1|Gm20510
MGI:5621304	Gm44504	predicted readthrough transcript (NMD candidate), 44504	SlcUbl4a
MGI:3845910	Gm44505	predicted readthrough transcript (NMD candidate), 44505	Zfp91Cntf|Zfp91-Cntf|U05342
MGI:5753146	Gm44570	predicted gene 44570	Gm32520
MGI:2685300	Gm454	predicted gene 454	LOC243303
MGI:3809658	Gm4567	predicted gene 4567	Gm5156
MGI:3782822	Gm4640	predicted gene 4640	2810016G10Rik
MGI:3645521	Gm4735	predicted gene 4735	Gm13699
MGI:3822518	Gm4748	predicted gene 4748	Serf2-ps|small EDRK-rich factor 2 pseudogene
MGI:3643133	Gm4924	predicted gene 4924	mIF1
MGI:2685344	Gm498	predicted gene 498	LOC244239
MGI:3647043	Gm4992	predicted pseudogene 4992	Trim12-X
MGI:2684851	Gm5	predicted gene 5	LOC386475|LOC194292
MGI:3649060	Gm5064	predicted gene 5064	EG666003
MGI:3644731	Gm5089	predicted gene 5089	C030005G22Rik
MGI:3648499	Gm5129	predicted gene 5129	ENSMUSG00000053121
MGI:3804938	Gm5169	predicted gene 5169	Xmr
MGI:2685364	Gm518	predicted pseudogene 518	LOC245015
MGI:2685371	Gm525	predicted gene 525	LOC217071
MGI:2685373	Gm527	predicted gene 527	LOC217648
MGI:3822457	Gm5296	predicted gene 5296	LOC384261
MGI:2684899	Gm53	predicted gene 53	LOC193022
MGI:2685380	Gm534	predicted gene 534	LOC218993
MGI:2685382	Gm536	predicted gene 536	LOC224098|LOC385635
MGI:3648948	Gm5468	predicted gene 5468	100040583
MGI:2685396	Gm550	predicted gene 550	LOC225852
MGI:2685399	Gm553	predicted gene 553	LOC227091
MGI:3645703	Gm5600	predicted gene 5600	ENSMUSG00000073862
MGI:2685413	Gm567	predicted gene 567	LOC229861
MGI:2685414	Gm568	predicted gene 568	LOC230143
MGI:2685418	Gm572	predicted gene 572	LOC230909|b2b1167Clo
MGI:3649014	Gm5891	predicted gene 5891	ENSMUSG00000074313
MGI:2685436	Gm590	predicted gene 590	LOC235634
MGI:2685441	Gm595	predicted gene 595	LOC209005
MGI:2685443	Gm597	predicted gene 597	LOC210962
MGI:2685455	Gm609	predicted gene 609	LOC208166|LOC385647
MGI:2685460	Gm614	predicted gene 614	LOC245536
MGI:3644670	Gm6142	predicted pseudogene 6142	Tbca16
MGI:3779563	Gm6172	predicted gene 6172	SNW domain containing 1 pseudogene
MGI:3643753	Gm6177	predicted gene 6177	EG620750
MGI:3643481	Gm6228	predicted gene 6228	EG621246
MGI:3648838	Gm6254	predicted gene 6254	621710
MGI:2685494	Gm648	predicted gene 648	LOC270599
MGI:2685495	Gm649	predicted gene 649	LOC270621
MGI:2685496	Gm650	predicted pseudogene 650	LOC270667
MGI:3646314	Gm6598	predicted gene 6598	Gm42469
MGI:3643376	Gm6600	predicted gene 6600	Zfp-like|287g15T7
MGI:3646960	Gm6687	predicted gene 6687	srsf
MGI:2685517	Gm671	predicted gene 671	LOC268853
MGI:3779623	Gm6710	predicted gene 6710	3100002L24Rik|2310011F05Rik|2900089K14Rik|1600017I02Rik|WF-4
MGI:2685540	Gm694	predicted gene 694	LOC277744
MGI:3779646	Gm7002	predicted gene 7002	Gm4531
MGI:3646400	Gm7049	predicted gene 7049	ENSMUSG00000078914
MGI:3779661	Gm7056	predicted gene 7056	Gm149|LOC231423
MGI:2685561	Gm715	predicted gene 715	LOC279618
MGI:3779700	Gm7230	predicted gene 7230	Gm3595
MGI:2685571	Gm725	predicted gene 725	LOC277899
MGI:2685578	Gm732	predicted gene 732	LOC213450
MGI:3644702	Gm7331	predicted gene 7331	ENSMUSG00000059461
MGI:3644473	Gm7335	predicted gene 7335	Gm10202
MGI:3779750	Gm7544	predicted gene 7544	4733401I12Rik
MGI:3826364	Gm7553	predicted gene 7553	LOC665246
MGI:3646877	Gm7645	predicted gene 7645	Gm14447
MGI:2685611	Gm765	predicted gene 765	LOC330390
MGI:3648029	Gm7658	predicted gene 7658	D1Mgi28
MGI:2685619	Gm773	predicted gene 773	LOC331416
MGI:3779765	Gm7819	predicted gene 7819	100039323
MGI:3648234	Gm7854	predicted gene 7854	ENSMUSG00000054483
MGI:3779776	Gm7995	predicted gene 7995	Gm3586
MGI:2685651	Gm805	predicted gene 805	LOC328136
MGI:2685653	Gm807	predicted gene 807	LOC328320
MGI:2685659	Gm813	predicted gene 813	LOC385656|LOC328695
MGI:2685661	Gm815	predicted gene 815	LOC329047
MGI:2685662	Gm816	predicted gene 816	LOC329188
MGI:2685672	Gm826	predicted gene 826	LOC329554
MGI:3647811	Gm8281	predicted gene, 8281	Gm3483
MGI:2685675	Gm829	predicted gene 829	LOC329839
MGI:2685676	Gm830	predicted gene 830	LOC329892
MGI:2685677	Gm831	predicted gene 831	LOC329950
MGI:3646015	Gm8323	predicted gene 8323	Gm2838
MGI:3647431	Gm8324	predicted gene 8324	Gm2843
MGI:2685679	Gm833	predicted gene 833	LOC330004
MGI:2685685	Gm839	predicted gene 839	LOC330379
MGI:3779801	Gm8523	predicted gene 8523	MYST histone acetyltransferase 1 pseudogene
MGI:2685699	Gm853	predicted gene 853	LOC332942
MGI:2685713	Gm867	predicted gene 867	LOC333670|LOC327769
MGI:3642968	Gm8693	predicted gene 8693	Gm4144
MGI:3779809	Gm8700	predicted gene 8700	Gm190|LOC235954
MGI:3646213	Gm8773	predicted gene 8773	Gm29287
MGI:2685730	Gm884	predicted gene 884	LOC380730
MGI:3703149	Gm8979	predicted gene 8979	Gm21884
MGI:3704114	Gm8989	predicted gene 8989	Gm21911
MGI:3644226	Gm8994	predicted gene 8994	B020013A22Rik
MGI:2684855	Gm9	predicted gene 9	LOC194854
MGI:2685750	Gm904	predicted gene 904	LOC382165|LOC380845
MGI:2685752	Gm906	predicted gene 906	LOC380882
MGI:3826365	Gm9079	predicted gene 9079	LOC888272|transmembrane emp24 domain trafficking protein 2 pseudogene
MGI:3647701	Gm9222	predicted gene 9222	BDR-1|EG668383
MGI:2685779	Gm933	predicted gene 933	LOC385630|LOC381043
MGI:2684940	Gm94	predicted gene 94	LOC225443
MGI:3646752	Gm9427	predicted pseudogene 9427	EG546327
MGI:3779983	Gm9573	predicted gene 9573	epiglycanin|Muc21
MGI:2685806	Gm960	predicted gene 960	Top6bl
MGI:2685819	Gm973	predicted gene 973	LOC381260
MGI:3648412	Gm9796	predicted gene 9796	EG544809
MGI:3647139	Gm9801	predicted gene 9801	EG330552
MGI:3641964	Gm9824	predicted pseudogene 9824	EG432447
MGI:3642725	Gm9826	predicted gene 9826	EG545302
MGI:3643118	Gm9866	predicted gene 9866	EG636791
MGI:3647145	Gm9871	predicted gene 9871	EG207157
MGI:3646113	Gm9903	predicted gene 9903	EG433873
MGI:3646315	Gm9918	predicted gene 9918	EG432988
MGI:3643134	Gm9946	predicted gene 9946	EG330403
MGI:3647947	Gm9949	predicted gene 9949	EG225609
MGI:2685842	Gm996	predicted gene 996	LOC381353
MGI:3643217	Gm9991	predicted gene 9991	EG433332
MGI:95763	Gma3	granulocyte macrophage antigen 3	Gm3|Gm-3
MGI:1345156	Gmcl1	germ cell-less, spermatogenesis associated 1	Gcl|mglc-1|2810049L19Rik|Btbd13
MGI:2135604	Gmeb1	glucocorticoid modulatory element binding protein 1	1110050A04Rik
MGI:1927133	Gmfb	glia maturation factor, beta	3110001O16Rik|D14Ertd630e|3110001H22Rik
MGI:1927135	Gmfg	glia maturation factor, gamma	0610039G16Rik|2310057N07Rik
MGI:1926066	Gmip	Gem-interacting protein	5031419I10Rik
MGI:3644767	Gml	glycosylphosphatidylinositol anchored molecule like	EG625599
MGI:1341831	Gml2	glycosylphosphatidylinositol anchored molecule like 2	Hemt1|hematopoietic cell-specific transcript|HemT|1700057K19Rik
MGI:2685452	Gmnc	geminin coiled-coil domain containing	Gm606|LOC239789|LOC385639
MGI:1927344	Gmnn	geminin	Gem
MGI:1916330	Gmppa	GDP-mannose pyrophosphorylase A	1810012N01Rik
MGI:1913605	Gmpr	guanosine monophosphate reductase	2310004P21Rik
MGI:1917903	Gmpr2	guanosine monophosphate reductase 2	1810008P16Rik|5730544D12Rik
MGI:2448526	Gmps	guanine monophosphate synthetase	Gm9479
MGI:95766	Gna11	guanine nucleotide binding protein, alpha 11	Dsk7
MGI:95767	Gna12	guanine nucleotide binding protein, alpha 12	Galpha12
MGI:95768	Gna13	guanine nucleotide binding protein, alpha 13	Galpha13
MGI:95769	Gna14	guanine nucleotide binding protein, alpha 14	G alpha 14
MGI:95770	Gna15	guanine nucleotide binding protein, alpha 15	G[a]15|Galpha15
MGI:95771	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1	Gialpha1
MGI:95772	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	Gia|Galphai2|Gnai-2
MGI:95773	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	Galphai3
MGI:95774	Gnal	guanine nucleotide binding protein, alpha stimulating, olfactory type	G alpha 10|Golf|9630020G10Rik|Galphaolf|Gna10|2610011C15Rik
MGI:95775	Gnao1	guanine nucleotide binding protein, alpha O	Galphao|Go alpha|alphaO
MGI:95776	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	Galphaq|Dsk10|GqI|Dsk1|1110005L02Rik|G alpha q|Gq|6230401I02Rik
MGI:95777	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	SCG6|Nespl|P2|Nesp55|Oedsml|Gnas1|P3|Nesp|Galphas|Gsa|Gs alpha|Gnasxl|Gs-alpha|G alpha s|XLalphas|P1|neuroendocrine-specific Golgi protein p55 isoform 1
MGI:95778	Gnat1	guanine nucleotide binding protein, alpha transducing 1	Ird2|Tralpha|transducin|Ird1|irdr|Gnat-1
MGI:95779	Gnat2	guanine nucleotide binding protein, alpha transducing 2	Tcalpha|Gnat-2|Gt-2
MGI:3588268	Gnat3	guanine nucleotide binding protein, alpha transducing 3	alpha-gustducin|Ggust|Gtn
MGI:95780	Gnaz	guanine nucleotide binding protein, alpha z subunit	Gz
MGI:1338057	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	ESTM55|Wdvcf|Me49f07|Wdr14
MGI:104581	Gnb4	guanine nucleotide binding protein (G protein), beta 4	6720453A21Rik
MGI:101848	Gnb5	guanine nucleotide binding protein (G protein), beta 5	G beta 5|Gbeta5
MGI:1354951	Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	2310066H07Rik
MGI:5563853	Gnf5	growth and fatness 5	Gnf3
MGI:1913316	Gng11	guanine nucleotide binding protein (G protein), gamma 11	0610037B21Rik
MGI:1336171	Gng12	guanine nucleotide binding protein (G protein), gamma 12	2010305F15Rik
MGI:1925616	Gng13	guanine nucleotide binding protein (G protein), gamma 13	Ggamma13
MGI:102705	Gng2	guanine nucleotide binding protein (G protein), gamma 2	1110003P13Rik
MGI:102704	Gng3	guanine nucleotide binding protein (G protein), gamma 3	83
MGI:102703	Gng4	guanine nucleotide binding protein (G protein), gamma 4	4
MGI:109164	Gng5	guanine nucleotide binding protein (G protein), gamma 5	G(y)5
MGI:109163	Gng8	guanine nucleotide binding protein (G protein), gamma 8	G(y)8
MGI:109165	Gngt1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	Gng1|G(y)1
MGI:95764	Gnl1	guanine nucleotide binding protein-like 1	Gnal1|Gna-rs1
MGI:2385207	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)	Ngp-1
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	NS|nucleostemin
MGI:1202304	Gnmt	glycine N-methyltransferase	glycine N methyl transferase
MGI:1343460	Gnpat	glyceronephosphate O-acyltransferase	D1Ertd819e
MGI:1347054	Gnpda1	glucosamine-6-phosphate deaminase 1	Gnp1|oscillin|glucose-6-phosphate isomerase|Gnpi
MGI:1915230	Gnpda2	glucosamine-6-phosphate deaminase 2	Gnp2|4933412A11Rik|4921523I18Rik
MGI:1858963	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1	EMeg32
MGI:3643902	Gnptab	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	EG432486
MGI:95789	Gnrh1	gonadotropin releasing hormone 1	LNRH|LHRH
MGI:1922862	Gns	glucosamine (N-acetyl)-6-sulfatase	G6S|2610016K11Rik
MGI:1924149	Golga1	golgi autoantigen, golgin subfamily a, 1	2210418B03Rik|0710001G09Rik|golgin-97|awag|Golgi97
MGI:2139395	Golga2	golgi autoantigen, golgin subfamily a, 2	GM130
MGI:96958	Golga3	golgi autoantigen, golgin subfamily a, 3	repro27|Mea2|Mea-2|G1-499-14|5430416E01Rik
MGI:1859646	Golga4	golgi autoantigen, golgin subfamily a, 4	golgin-245|Olp-1
MGI:1351475	Golga5	golgi autoantigen, golgin subfamily a, 5	Ret-II
MGI:1931029	Golga7	golgi autoantigen, golgin subfamily a, 7	HSPC041|C130038N16Rik|GCP16|GOLGA3AP1
MGI:1918396	Golga7b	golgi autoantigen, golgin subfamily a, 7B	4933417O08Rik
MGI:1099447	Golgb1	golgi autoantigen, golgin subfamily b, macrogolgin 1	6330407A06Rik|F730017E11Rik|Gm6840|Giantin|C130074L01Rik
MGI:1920374	Golim4	golgi integral membrane protein 4	3110027H23Rik|P138|GPP130|Golph4
MGI:1917329	Golm1	golgi membrane protein 1	D030064E01Rik|GP73|2310001L02Rik|PSEC0257|Golph2
MGI:1913879	Golph3	golgi phosphoprotein 3	4733401N08Rik|5730410D03Rik
MGI:1917129	Golph3l	golgi phosphoprotein 3-like	GPP34R|2010204I15Rik
MGI:1915588	Golt1a	golgi transport 1A	0610012C01Rik
MGI:1914214	Golt1b	golgi transport 1B	2310061A22Rik
MGI:1917579	Gon4l	gon-4-like (C.elegans)	1500041I23Rik|2610100B20Rik
MGI:4845848	Gon7	GON7, KEOPS complex subunit homolog	AK010878
MGI:2149946	Gopc	golgi associated PDZ and coiled-coil motif containing	2210402P09Rik|GOPC1
MGI:2138271	Gorab	golgin, RAB6-interacting	Scyl1bp1|NTKL-BP1
MGI:1921748	Gorasp1	golgi reassembly stacking protein 1	P65|GRASP65|GOLPH5|5430411C10Rik
MGI:2135962	Gorasp2	golgi reassembly stacking protein 2	GOLPH2|5730520M13Rik|9430094F20Rik|ENSMUSG00000075299|p59|GRS2|GRASP55
MGI:1858260	Gosr1	golgi SNAP receptor complex member 1	GOS-28|Cis-Golgi SNARE|GS28
MGI:1927204	Gosr2	golgi SNAP receptor complex member 2	SNARE|2310032N09Rik|membrin|GS27
MGI:95791	Got1	glutamic-oxaloacetic transaminase 1, soluble	cytosolic aspartate aminotransferase|cAspAT|Got-1
MGI:1923865	Got1l1	glutamic-oxaloacetic transaminase 1-like 1	1700083M11Rik
MGI:95792	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial	mAspAT|FABP-pm|Kyat4|mitochondrial aspartate aminotransferase|plasma membrane fatty acid binding protein
MGI:1333744	Gp1ba	glycoprotein 1b, alpha polypeptide	GP Ib-alpha|GPIba|GPIb-alpha
MGI:1914383	Gp2	glycoprotein 2 (zymogen granule membrane)	2310037I18Rik
MGI:1096363	Gp5	glycoprotein 5 (platelet)	GPV|GP V
MGI:1889810	Gp6	glycoprotein 6 (platelet)	Gpvi|9830166G18Rik
MGI:1860137	Gp9	glycoprotein 9 (platelet)	GPIX|Cd42
MGI:1891703	Gpa33	glycoprotein A33 (transmembrane)	2010310L10Rik|A33 antigen|2210401D16Rik
MGI:1202392	Gpaa1	GPI anchor attachment protein 1	mGAA1
MGI:3836609	Gpab1	gp70 autoantibody titers 1	Gp1
MGI:1914717	Gpalpp1	GPALPP motifs containing 1	1200011I18Rik
MGI:109162	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	GPAT1
MGI:2148975	Gpank1	G patch domain and ankyrin repeats 1	D17H6S54E|G5|Bat4
MGI:2684962	Gpat2	glycerol-3-phosphate acyltransferase 2, mitochondrial	A530057A03Rik|Gpat2
MGI:3603816	Gpat3	glycerol-3-phosphate acyltransferase 3	Agpat9|4933407I02Rik|A230097K15Rik
MGI:2142716	Gpat4	glycerol-3-phosphate acyltransferase 4	Agpat6
MGI:1914721	Gpatch1	G patch domain containing 1	Gpatc1|1300003A17Rik
MGI:1858435	Gpatch11	G patch domain containing 11	2310002B06Rik|Ccdc75
MGI:1915019	Gpatch2	G patch domain containing 2	5830436K05Rik|Gpatc2|5830433G22Rik
MGI:1917623	Gpatch2l	G patch domain containing 2 like	1700020O03Rik
MGI:2442492	Gpatch3	G patch domain containing 3	Gpatc3|D930035B09Rik
MGI:1913864	Gpatch4	G patch domain containing 4	2610029K21Rik|Gpatc4
MGI:1918667	Gpatch8	G patch domain containing 8	ENSMUSG00000075516|Gpatc8|5430405G24Rik|Fbm1
MGI:2653863	Gpbar1	G protein-coupled bile acid receptor 1	TGR5|GPR131|M-BAR|BG37
MGI:1920524	Gpbp1	GC-rich promoter binding protein 1	1700034P14Rik|D230035M11Rik
MGI:1924360	Gpbp1l1	GC-rich promoter binding protein 1-like 1	5330440M15Rik
MGI:1919201	Gpc2	glypican 2 (cerebroglycan)	2410016G05Rik
MGI:104903	Gpc3	glypican 3	OCI-5
MGI:104902	Gpc4	glypican 4	9530073D23Rik|K-glypican
MGI:1194894	Gpc5	glypican 5	A230034F01Rik
MGI:1346322	Gpc6	glypican 6	6720429C22Rik
MGI:104898	Gpcpd1	glycerophosphocholine phosphodiesterase 1	2310032D16Rik|2310004G06Rik|Prei4
MGI:95679	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	Gdc1|Gdc-1
MGI:1289257	Gpd1l	glycerol-3-phosphate dehydrogenase 1-like	2210409H23Rik|D9Ertd660e
MGI:99778	Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial	Gdm1
MGI:1924104	Gper1	G protein-coupled estrogen receptor 1	CMKRL2|FEG-1|Gpr30|Ceprl|GPCR-Br|Gper|6330420K13Rik
MGI:2156541	Gpha2	glycoprotein hormone alpha 2	GPA2|zsig51
MGI:2156540	Gphb5	glycoprotein hormone beta 5	Zlut1|OGH
MGI:109602	Gphn	gephyrin	geph|5730552E08Rik
MGI:95797	Gpi1	glucose phosphate isomerase 1	Gpi-1r|Gpi-1|Gpi-1t|Gpi1-s|MF|Gpi1-r|Org|maturation factor|NK|Gpi1-t|Gpi-1s|neuroleukin|NK/GPI|AMF|autocrine motility factor
MGI:1915703	Gpihbp1	GPI-anchored HDL-binding protein 1	GPI-HBP1|1110002J19Rik
MGI:95711	Gpin1	gross passage A viral integration region 1	Gin-1|Gin1
MGI:1859610	Gpkow	G patch domain and KOW motifs	T54|DXErtd697e|DXImx41e|mT54
MGI:106604	Gpld1	glycosylphosphatidylinositol specific phospholipase D1	6330541J12Rik
MGI:107671	Gpm6a	glycoprotein m6a	Gpm6|M6A
MGI:107672	Gpm6b	glycoprotein m6b	M6B|Gpm6
MGI:1921504	Gpn1	GPN-loop GTPase 1	Xab1|2410004J02Rik
MGI:2140368	Gpn2	GPN-loop GTPase 2	Atpbd1b
MGI:1289326	Gpn3	GPN-loop GTPase 3	D5Ertd708e|Atpbd1c|A930018B01Rik
MGI:1934765	Gpnmb	glycoprotein (transmembrane) nmb	DC-HIL|Dchil|Osteoactivin
MGI:2685211	Gpr101	G protein-coupled receptor 101	LOC245424
MGI:1925558	Gpr108	G protein-coupled receptor 108	1810015L19Rik
MGI:101909	Gpr12	G-protein coupled receptor 12	Gpcr01|Gpcr20|Gpcr12
MGI:1890220	Gpr132	G protein-coupled receptor 132	G2a|G2 accumulation
MGI:1891463	Gpr137b	G protein-coupled receptor 137B	Tm7sf1|C80741|2310041G17Rik
MGI:3710533	Gpr137b-ps	G protein-coupled receptor 137B, pseudogene	ENSMUSG00000075118
MGI:1917963	Gpr137c	G protein-coupled receptor 137C	6330416L11Rik|LOC380893|TM7SF1L2
MGI:2685341	Gpr139	G protein-coupled receptor 139	GPRg1|LOC209776
MGI:2672983	Gpr141	G protein-coupled receptor 141	Pgr13
MGI:107193	Gpr143	G protein-coupled receptor 143	Oa1
MGI:1933113	Gpr146	G protein-coupled receptor 146	PGR8
MGI:2443628	Gpr149	G protein-coupled receptor 149	R35|Ieda|9630018L10Rik|PGR10
MGI:1918473	Gpr15	G protein-coupled receptor 15	4933439K08Rik
MGI:2441872	Gpr150	G protein-coupled receptor 150	PGR11|C030001A19Rik
MGI:2441887	Gpr151	G protein-coupled receptor 151	PGR7|C130082O03Rik|GalRL
MGI:2685519	Gpr152	G protein-coupled receptor 152	A930009H15Rik|LOC269053
MGI:1916157	Gpr153	G protein-coupled receptor 153	1110065N12Rik|PGR1
MGI:1915776	Gpr155	G protein-coupled receptor 155	DEPDC3|PGR22|1110017O10Rik|F730029F15Rik
MGI:2653880	Gpr156	G protein-coupled receptor 156	Gababl
MGI:2442046	Gpr157	G protein-coupled receptor 157	F730108M23Rik
MGI:2441697	Gpr158	G protein-coupled receptor 158	5330427M13Rik
MGI:1919112	Gpr160	G protein-coupled receptor 160	1700025D19Rik
MGI:2685054	Gpr161	G protein-coupled receptor 161	vl|LOC240888
MGI:1315214	Gpr162	G protein-coupled receptor 162	A-2|Grca
MGI:1923456	Gpr165	G protein-coupled receptor 165	6530406P05Rik
MGI:2442043	Gpr171	G protein-coupled receptor 171	H963|F730001G15Rik
MGI:1918021	Gpr173	G-protein coupled receptor 173	SREB3|3230401K02Rik
MGI:2685222	Gpr174	G protein-coupled receptor 174	LOC213439
MGI:2685858	Gpr176	G protein-coupled receptor 176	LOC381413
MGI:2443409	Gpr179	G protein-coupled receptor 179	5330439C02Rik
MGI:1930949	Gpr180	G protein-coupled receptor 180	E130016I23Rik|ITR
MGI:109545	Gpr182	G protein-coupled receptor 182	Admr|Gpcr17|AM-R|Gpcr22|NOW|G10-D
MGI:2442034	Gpr183	G protein-coupled receptor 183	Ebi2
MGI:2441803	Gpr20	G protein-coupled receptor 20	A430106B11Rik
MGI:2441890	Gpr21	G protein-coupled receptor 21	C230004C13Rik
MGI:1920260	Gpr22	G protein-coupled receptor 22	2900068K05Rik
MGI:2686146	Gpr25	G protein-coupled receptor 25	LOC383563
MGI:2441758	Gpr26	G protein-coupled receptor 26	9630036A11Rik
MGI:101908	Gpr3	G-protein coupled receptor 3	Gpcr3|Gpcr21
MGI:1354370	Gpr31a	G protein-coupled receptor 31, D17Leh66a region	Gm6544
MGI:1313297	Gpr37	G protein-coupled receptor 37	parkin-associated endothelin B-like receptor|Pael-R
MGI:1928503	Gpr37l1	G protein-coupled receptor 37-like 1	D0Kist8|CAG-18
MGI:1918361	Gpr39	G protein-coupled receptor 39	4933415E13Rik
MGI:2135882	Gpr45	G protein-coupled receptor 45	PSP24alpha|9230112G11Rik
MGI:1333877	Gpr50	G-protein-coupled receptor 50	H9
MGI:3643278	Gpr52	G protein-coupled receptor 52	EG620246
MGI:2685064	Gpr55	G protein-coupled receptor 55	CTFL|LOC227326
MGI:3525078	Gpr62	G protein-coupled receptor 62	4933402E03Rik
MGI:2135884	Gpr63	G protein-coupled receptor 63	PSP24beta
MGI:108031	Gpr65	G-protein coupled receptor 65	Dig1|Gpcr25|TDAG8
MGI:2441763	Gpr68	G protein-coupled receptor 68	OGR1
MGI:95712	Gpr83	G protein-coupled receptor 83	RP105|Gir|Gpr72|GIR|glucocorticoid-induced receptor|RP39|RP82
MGI:1934129	Gpr84	G protein-coupled receptor 84	EX33
MGI:1927851	Gpr85	G protein-coupled receptor 85	2900026B03Rik
MGI:1927653	Gpr88	G-protein coupled receptor 88	Strg
MGI:1914799	Gpr89	G protein-coupled receptor 89	4933412D19Rik|SH120
MGI:1917418	Gprasp1	G protein-coupled receptor associated sorting protein 1	GASP1|2210415K24Rik|3110031O14Rik
MGI:2442071	Gprasp2	G protein-coupled receptor associated sorting protein 2	GASP2|Prpl5|5330440H13Rik
MGI:1891250	Gprc5a	G protein-coupled receptor, family C, group 5, member A	Raig1|Gprc5a|Rai3
MGI:1927596	Gprc5b	G protein-coupled receptor, family C, group 5, member B	hypothetical protein, clone 2-63
MGI:1917605	Gprc5c	G protein-coupled receptor, family C, group 5, member C	1110028I06Rik|3200002M13Rik
MGI:1349455	Gprin1	G protein-regulated inducer of neurite outgrowth 1	GRIN1|Z16
MGI:2444560	Gprin2	G protein regulated inducer of neurite outgrowth 2	C130040D06Rik
MGI:1924785	Gprin3	GPRIN family member 3	C030038J10Rik
MGI:2384801	Gps1	G protein pathway suppressor 1	COPS1|Csn1
MGI:1915089	Gpsm1	G-protein signalling modulator 1 (AGS3-like, C. elegans)	Ags3|1810037C22Rik
MGI:1923373	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	LGN|6230410J09Rik|Pins
MGI:2146785	Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans)	AGS4
MGI:95802	Gpt	glutamic pyruvic transaminase, soluble	2310022B03Rik|Gpt1|1300007J06Rik|Gpt-1|ALT
MGI:1915391	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	ALT2|4631422C05Rik
MGI:104887	Gpx1	glutathione peroxidase 1	Gpx|CGPx|GPx-1|cellular GPx|GSHPx-1
MGI:106609	Gpx2	glutathione peroxidase 2	GPx-GI|intestinal GPx|GI-GPx
MGI:105102	Gpx3	glutathione peroxidase 3	plasma GPx|extracellular GPx|GPx|EGPx
MGI:104767	Gpx4	glutathione peroxidase 4	snGPx|PHGPx|phospholipid hydroperoxide glutathione peroxidase|sperm nuclei glutathione peroxidase|mtPHGPx
MGI:104886	Gpx5	glutathione peroxidase 5	Arep
MGI:1922762	Gpx6	glutathione peroxidase 6	1700020G18Rik|olfactory
MGI:1914555	Gpx7	glutathione peroxidase 7	GPX6|3110050F08Rik
MGI:1916840	Gpx8	glutathione peroxidase 8 (putative)	2310016C16Rik
MGI:105490	Gramd1a	GRAM domain containing 1A	1300003M23Rik|D7Bwg0611e
MGI:1925037	Gramd1b	GRAM domain containing 1B	A930008A22Rik
MGI:2443024	Gramd1c	GRAM domain containing 1C	4921521N14Rik
MGI:1914815	Gramd3	GRAM domain containing 3	9130427A09Rik|9030613F08Rik
MGI:1918770	Grap	GRB2-related adaptor protein	8430435N19Rik
MGI:1333842	Grap2	GRB2-related adaptor protein 2	GrbX|Gads|GrpL|Grb2-related adaptor downstream of Sch|Mona|GRID|GRAP-2|P38|Grf40|GRB2L
MGI:1860303	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	tamalin
MGI:103232	Grb10	growth factor receptor bound protein 10	maternally expressed gene 1|5730571D09Rik|Meg1
MGI:1315201	Grcc10	gene rich cluster, C10 gene	2310033H05Rik
MGI:2149712	Greb1	gene regulated by estrogen in breast cancer protein	5730583K22Rik
MGI:3576497	Greb1l	growth regulation by estrogen in breast cancer-like	mKIAA4095|AK220484
MGI:1344337	Grem1	gremlin 1, DAN family BMP antagonist	Grem|Drm|Cktsf1b1|gremlin
